_ID	Puzzle	Parent	Child
10	24		
10	24	####	
10	24	Woops	
10	24		
10	24	Okay, ###	
10	24		If I can't get it, will you help me?
10	24	Yeah, of course	
10	24	Okay, here we go. Remember what I- I said one time that we should always put them face up so we can see what, what pieces we have here	
10	24		'Kay
10	24		Yeah
10	24	Okay	
10	24		Which one should we put down n- right now, Oh I think this one
10	24	Ooh, what's that one?	
10	24		###
10	24	Mm-hmm	
10	24		### put it together
10	24	Hmm, Okay. I'm gonna watch you for a minute and then I'll help you ###-	
10	24		No, can you help me right now?
10	24	Okay well start with that one piece. Now, did you see any colors that are similar to that?	
10	24		
10	24	See any colors that are similar?	
10	24		No
10	24	No? What colors are in that one?	
10	24		This one
10	24	Ooh	
10	24	Mm-hmm	
10	24		Go- This goes there
10	24		*noises*
10	24		It doesn't go there?
10	24	I don't know	
10	24	Hmm	
10	24	What c- what, what color do you think would hook onto that one?	
10	24	What color?	
10	24		Light, light blue
10	24	Light blue, okay	
10	24		*noises*
10	24	Hmm	
10	24	What about one of these?	
10	24	Yep	
10	24	Hmm	
10	24		Now I'm gonna make a shark
10	24	Okay, Ooh that's the sharky?	
10	24		Shark Shh yeah sharky
10	24	Ooh, there they go	
10	24		Do- Does, does it go like this? Nope
10	24	Mmm, You can try it	
10	24		Or does it go like this? Yep
10	24	Yeah	
10	24		Where's another piece?
10	24	I see his tail	
10	24	'Kay look for another piece of the shark	
10	24		Maybe it goes like that
10	24		Maybe it-
10	24	See this corner right there? What does that tell you?	
10	24		That doesn't go there
10	24		
10	24	Where does that corner go? Yeah, Yep	
10	24		Up here
10	24		The face
10	24	Hmm, where did that, Oh, what do you want, what do you want, what do you want	
10	24		This
10	24	Mmkay	
10	24	Ooh, there's his eyeball	
10	24		
10	24	I s-	
10	24		What
10	24	Is his eye gonna stick up there?	
10	24	###	
10	24	Maybe it would, the gray part has to stick in, look at this part right here. Where would that go? What would that hook into?	
10	24		This
10	24	Yeah, hey	
10	24	'Kay	
10	24		
10	24	Now, is there another gray part sticking off of that one?	
10	24	Ooh, I see his mouth. You're making his mouth right there, right?	
10	24		###
10	24		
10	24	Yeah, look at his face, oh, what kind of a face is it?	
10	24		Make w- His other thing
10	24	His other what?	
10	24		His other flipper
10	24	Oh, like this one?	
10	24		No, what-
10	24	I don't know where he's at. What part are you looking for? What color?	
10	24		### I don't know ###
10	24	What color would it be?	
10	24		I think it would be like this
10	24	Oh, Okay	
10	24	*noises*	
10	24		Maybe like this?
10	24	Mmm, maybe you're looking for the tip of his nose?	
10	24		No
10	24		Yeah
10	24	Alright	
10	24	Mmm, what about this piece, would that maybe fit in there?	
10	24		Yeah
10	24		Yeah tip of his nose
10	24	tip of his nose *snort*	
10	24		
10	24		*snort*
10	24	Got it, Mmkay	
10	24	What other parts do you want to hook on, what's this guy right here?	
10	24		###
10	24		No I'm still w- working on the shark
10	24	Oh, okay, let's see what	
10	24		Mm, what else?
10	24	Look for a piece that has a little curvy part down here with a tiny tiny bit of gray	
10	24	### piece be, What about this piece, would that go anywhere?	
10	24		That could, has to go ###
10	24	Mmm, what does this straight part tell you?	
10	24		
10	24		That doesn't go there
10	24	Well, that might not mean-  yeah, Yeah, This is- See how that's straight? Remember this? All of the edges are straight	
10	24		
10	24	Straight, so when you find a piece like this, Is there a straight, is there a straight side on this one?	
10	24	Is there a straight side on this one, NAME?	
10	24	Look, show me the straight edge	
10	24		No, I'm still working- working. No I- I'm- I'm uh, look can I put a- a piece here
10	24	Oh okay, okay, 'kay	
10	24	Well, that might not be in the right spot, you might have to scooch that over	
10	24		Like this?
