_ID	PUZZLE	BEGIN	END	DURATION	PARENT	CHILD	NOTE
1	24	58.72	59.16	0.44			24 Piece - Start
1	24	59.8	63.64	3.84		Hey mommy, We like that puzzle, it's about the ocean	
1	24	63.44	63.8	0.36			Researcher Out
1	24	63.6	64.98	1.38	I know		
1	24	64.6	67.52	2.92		*noises*	
1	24	67.9	69.58	1.68	Let's see if we can get this		
1	24	68.64	69.88	1.24		There's no picture	
1	24	70.56	71.32	0.76		Oh	
1	24	73.64	74.4	0.76		Mommy	
1	24	74.43	75.57	1.14	You're gonna help me make it?		
1	24	75.84	76.44	0.6		Yeah	
1	24	76.43	77.51	1.08	Alright		
1	24	77.32	78.6	1.28		###	
1	24	79.62	80.31	0.69	I know		
1	24	79.76	80.28	0.52		And	
1	24	80.43	83.48	3.05	Hold on, let me separate all of these so we could see 'em. Ouch		
1	24	84.44	85.04	0.6	Ouch		
1	24	85.48	86.28	0.8		What?	
1	24	87.08	88.12	1.04		A puzzle?	
1	24	88.36	89.18	0.82	Mm-hmm		
1	24	90.88	96.64	5.76		The puzzle go right here. Then what is it? What is him?	
1	24	96.08	100.6	4.52	Did you get it? Oh my goodness. Why don't you put it on there? On the board		
1	24	101.07	101.98	0.91	Where you got it		
1	24	101.12	101.6	0.48		Yeah	
1	24	103.61	105.18	1.57	Okay, that's a beginning		
1	24	107.39	108.34	0.95	See any more?		
1	24	110.96	112.84	1.88		What about I see a squid	
1	24	112.95	114.43	1.48	A squid?		
1	24	114.8	121.48	6.68		Yeah a squid ### the jellyfish to swim in the water	
1	24	118.88	119.16	0.28			
1	24	121.68	122.24	0.56		Like this	
1	24	121.69	123.22	1.53	To swim in the water		
1	24	125.04	126.48	1.44		You could do it Mommy	
1	24	128.08	129.8	1.72		### the ocean	
1	24	129.71	131.2	1.49	Okay, come on. Let's do this		
1	24	131.08	131.96	0.88		###	
1	24	132.4	137.84	5.44		### lakes and ### animals, within the beautiful sea	
1	24	137.86	138.99	1.13	In the beautiful sea?		
1	24	139.24	140.56	1.32		Just like crabs	
1	24	140.68	141.72	1.04	Oh, that's a crab?		
1	24	141.72	142.2	0.48		Yeah	
1	24	142.08	143.66	1.58	Okay, put it down		
1	24	142.76	143.8	1.04		It snap like this	
1	24	144.41	144.98	0.57	Like that?		
1	24	145.4	145.84	0.44		Yeah	
1	24	146.14	147.23	1.09	*laughing*		
1	24	148.47	149.98	1.51	Do you see the body of the crab?		
1	24	150.84	154.88	4.04		Hmm, but I see that body for the jellyfish	
1	24	154.94	156.9	1.96	Oh, Okay. Maybe it fits there		
1	24	157.14	157.54	0.4	Try it		
1	24	157.88	159.0	1.12		####	
1	24	159.21	160.09	0.88	Try it again		
1	24	161.0	161.92	0.92		Okay	
1	24	161.799	164.571	2.772	Oh put it right there again, just lift it up a little bit		
1	24	166.914	168.564	1.65	No you had it right the other way		
1	24	172.788	173.283	0.495	*gasp*		
1	24	173.8	176.84	3.04		*gasp* Yay!	
1	24	175.065	176.451	1.386	*laughing*		
1	24	176.12	177.24	1.12			
1	24	177.2	178.24	1.04		It fit	
1	24	178.167	179.124	0.957	Yeah		
1	24	179.52	180.08	0.56		Well	
1	24	180.741	181.929	1.188	What do you wanna do next?		
1	24	183.92	189.04	5.12		That look, different, but the jellyfish body	
1	24	189.189	190.278	1.089	Oh, okay		
1	24	191.52	195.36	3.84		Fits like, here!	
1	24	195.56	196.8	1.24			
1	24	196.56	197.08	0.52		*gasp*	
1	24	196.779	198.396	1.617	Good job		
1	24	198.04	201.16	3.12		That's ### silly fish!	
1	24	200.904	201.828	0.924	Yeah		
1	24	203.2	203.8	0.6		*noises*	
1	24	203.28	206.448	3.168	See any more pieces you think we could put together?		
