_ID	PUZZLE	SPEAKER	MATCH	COUNT
1	24	C	animal	1
1	24	C	body	2
1	24	C	can	3
1	24	C	could	2
1	24	C	crab	6
1	24	C	do	4
1	24	C	does	1
1	24	C	down	1
1	24	C	face	1
1	24	C	fish	2
1	24	C	gray	1
1	24	C	in	2
1	24	C	jellyfish	6
1	24	C	ocean	2
1	24	C	octopus	3
1	24	C	orange	2
1	24	C	piece	2
1	24	C	purple	1
1	24	C	right	10
1	24	C	sea	3
1	24	C	seahorse	1
1	24	C	shark	5
1	24	C	shell	1
1	24	C	swordfish	1
1	24	C	tentacle	1
1	24	C	together	2
1	24	C	turn	1
1	24	C	water	1
1	24	C	what	5
1	24	C	where	1
1	24	C	with	1
1	24	P	a little	2
1	24	P	all	1
1	24	P	are these	1
1	24	P	around	1
1	24	P	bit	1
1	24	P	body	2
1	24	P	can	3
1	24	P	color	1
1	24	P	corner	3
1	24	P	could	4
1	24	P	crab	7
1	24	P	did	1
1	24	P	do	21
1	24	P	does	3
1	24	P	down	2
1	24	P	eye	1
1	24	P	flip	1
1	24	P	gray	9
1	24	P	how	2
1	24	P	in	3
1	24	P	is that	1
1	24	P	maybe	1
1	24	P	octopus	2
1	24	P	orange	2
1	24	P	out	1
1	24	P	over	7
1	24	P	part	2
1	24	P	piece	6
1	24	P	pink	1
1	24	P	purple	4
1	24	P	right	8
1	24	P	sea	1
1	24	P	separate	1
1	24	P	shark	1
1	24	P	side	3
1	24	P	snake	1
1	24	P	some	4
1	24	P	straight	1
1	24	P	tentacle	3
1	24	P	together	6
1	24	P	up	7
1	24	P	water	1
1	24	P	what	8
1	24	P	where	4
1	24	P	which	1
1	24	P	white	1
10	24	C	all	2
10	24	C	apart	1
10	24	C	blue	2
10	24	C	can	3
10	24	C	color	2
10	24	C	could	1
10	24	C	crab	1
10	24	C	do	3
10	24	C	does	4
10	24	C	down	1
10	24	C	face	1
10	24	C	gray	1
10	24	C	in	2
10	24	C	light	1
10	24	C	maybe	1
10	24	C	nose	1
10	24	C	octopus	1
10	24	C	piece	4
10	24	C	pink	2
10	24	C	purple	2
10	24	C	right	2
10	24	C	seahorse	1
10	24	C	shark	4
10	24	C	tail	2
10	24	C	together	1
10	24	C	up	1
10	24	C	what	6
10	24	C	when	1
10	24	C	where	2
10	24	C	will	1
10	24	P	a little	3
10	24	P	along	3
10	24	P	around	2
10	24	P	barnacle	1
10	24	P	between	1
10	24	P	bit	2
10	24	P	blue	8
10	24	P	bottom	2
10	24	P	can	3
10	24	P	close	1
10	24	P	color	13
10	24	P	corner	11
10	24	P	crab	1
10	24	P	curve	1
10	24	P	did	2
10	24	P	do	13
10	24	P	does	3
10	24	P	down	3
10	24	P	edge	14
10	24	P	eye	1
10	24	P	face	3
10	24	P	fish	1
10	24	P	gray	3
10	24	P	how	4
10	24	P	in	11
10	24	P	is that	1
10	24	P	is this	3
10	24	P	little	1
10	24	P	long	1
10	24	P	maybe	4
10	24	P	mouth	2
10	24	P	nose	2
10	24	P	octopus	3
10	24	P	orange	1
10	24	P	out	2
10	24	P	over	5
10	24	P	part	14
10	24	P	piece	21
10	24	P	pink	5
10	24	P	place	1
10	24	P	purple	2
10	24	P	right	9
10	24	P	shark	4
10	24	P	side	4
10	24	P	some	2
10	24	P	spots	1
10	24	P	stick	2
10	24	P	straight	20
10	24	P	suckers	2
10	24	P	tail	4
10	24	P	tentacle	1
10	24	P	third	1
10	24	P	tiny	2
10	24	P	top	1
10	24	P	turn	2
10	24	P	up	4
10	24	P	what	24
10	24	P	when	2
10	24	P	where	4
10	24	P	which	1
10	24	P	will	1
10	24	P	with	9
10	48	C	all	2
10	48	C	apart	1
10	48	C	around	1
10	48	C	butterfly	1
10	48	C	can	9
10	48	C	corner	4
10	48	C	do	7
10	48	C	down	2
10	48	C	ear	3
10	48	C	eye	4
10	48	C	frog	1
10	48	C	green	1
10	48	C	in	6
10	48	C	jungle	1
10	48	C	leopard	4
10	48	C	line	2
10	48	C	part	1
10	48	C	piece	3
10	48	C	right	1
10	48	C	some	1
10	48	C	spots	2
10	48	C	straight	4
10	48	C	tiger	1
10	48	C	together	2
10	48	C	toucan	10
10	48	C	turn	1
10	48	C	up	1
10	48	C	will	1
10	48	C	with	2
10	48	P	a lot	1
10	48	P	above	1
10	48	P	all	2
10	48	P	are these	1
10	48	P	away	1
10	48	P	back	1
10	48	P	below	1
10	48	P	beneath	1
10	48	P	bottom	1
10	48	P	butterfly	4
10	48	P	can	17
10	48	P	color	1
10	48	P	corner	13
10	48	P	could	2
10	48	P	did	2
10	48	P	do	12
10	48	P	does	8
10	48	P	down	2
10	48	P	ear	4
10	48	P	edge	7
10	48	P	eye	8
10	48	P	far	1
10	48	P	flower	1
10	48	P	frog	2
