PATTERN	SPATIAL	CATEGORY
big|bigger|biggest	1	spatial dimension
little|littler|littlest	1	spatial dimension
small|smaller|smallest	1	spatial dimension
large|larger|largest	1	spatial dimension
tiny|tinier|tiniest	1	spatial dimension
enormous	1	spatial dimension
huge	1	spatial dimension
gigantic|giant	1	spatial dimension
teeny|teenier|teeniest	1	spatial dimension
itsy-bitsy	1	spatial dimension
itty-bitty	1	spatial dimension
long|longer|longest	1	spatial dimension
short|shorter|shortest	1	spatial dimension
tall|taller|tallest	1	spatial dimension
wide|wider|widest	1	spatial dimension
narrow|narrower|narrowest	1	spatial dimension
thick|thicker|thickest	1	spatial dimension
thin|thinner|thinnest	1	spatial dimension
skinny|skinnier|skinniest	1	spatial dimension
fat|fatter|fattest	1	spatial dimension
deep|deeper|deepest	1	spatial dimension
shallow|shallower|shallowest	1	spatial dimension
full|fuller|fullest	1	spatial dimension
empty|emptier|emptiest	1	spatial dimension
size|sizes	1	spatial dimension
length|lengths	1	spatial dimension
height|heights	1	spatial dimension
width|widths	1	spatial dimension
depth|depths	1	spatial dimension
volume|volumes	1	spatial dimension
capacity|capacities	1	spatial dimension
area|areas	1	spatial dimension
measure|measures|measurement|measurements	1	spatial dimension
circle|circles|circular	1	shapes
oval|ovals	1	shapes
ellipse|ellipses|elliptical	1	shapes
semicircle|semicircles|semicircular	1	shapes
triangle|triangles|triangular	1	shapes
square|squares	1	shapes
rectangle|rectangles|rectangular	1	shapes
diamond|diamonds	1	shapes
pentagon|pentagons	1	shapes
hexagon|hexagons	1	shapes
octagon|octagons	1	shapes
parallelogram|parallelograms	1	shapes
quadrilateral|quadrilaterals	1	shapes
rhombus|rhombuses	1	shapes
polygon|polygons	1	shapes
sphere|spheres|spherical|spheric	1	shapes
globe|globes	1	shapes
cone|cones|conical	1	shapes
cylinder|cylinders|cylindrical	1	shapes
pyramid|pyramids	1	shapes
cube|cubes	1	shapes
rectangular prism|rectangular prisms	1	shapes
