_ID	PUZZLE	BEGIN	END	DURATION	TIME	PARENT	CHILD	PAGE
2	NF	3.38	4.51	1.13	nonfiction start				
2	NF	4.77	5.34	0.57				Cover	
2	NF	5.38	6.58	1.2		alright.			
2	NF	6.7	8.13	1.43		do you want to read or do you want me to?			
2	NF	10.19	11.68	1.49			I want you to.		
2	NF	10.97	12.41	1.44		you want me to? ok.			
2	NF	12.64	14.05	1.41		when you look up at the moon.			
2	NF	15.79	16.91	1.12		turn the page.			
2	NF	17.12	17.94	0.82				page 1	
2	NF	18.1	21.67	3.57		when you look up at the moon do you wish you could visit it?			
2	NF	24.72	26.13	1.41		what would you see up on the moon?			mmkay.
2	NF	28.66	29.32	0.66			I don't know.		
2	NF	29.0	30.16	1.16		space aliens?			
2	NF	30.86	31.92	1.06		you think so?			
2	NF	32.4	34.5	2.1		there are craters on the moon.			
2	NF	38.35	39.29	0.94		wanna turn the page?			
2	NF	40.3	43.48	3.18			this seems like a question book.		
2	NF	42.59	43.45	0.86				page 2	
2	NF	43.35	43.85	0.5		uh-huh.			
2	NF	46.32	47.24	0.92		you wanna read that?			
2	NF	48.04	53.92	5.88			you see very tall mountains and wide pla--plants there.		
2	NF	53.97	55.23	1.26		plains there.			
2	NF	54.09	62.19	8.1			so did you know that like it's not bar smooth it's bumpy?		
2	NF	61.15	65.62	4.47		that's right. they're called craters and rocks on mountains right.			
2	NF	64.92	65.85	0.93				page 3	
2	NF	68.96	74.84	5.88		you would also see big rings called craters. there would be rocks all around you.			
2	NF	75.45	76.38	0.93				page 4	
2	NF	85.02	86.25	1.23		what do you think about this.			
2	NF	86.79	91.64	4.85		since the moon has no air or water, there would be no plants or animals there.			
2	NF	92.2	93.18	0.98		cause why?			
2	NF	93.33	99.14	5.81			because plants need water and animals also need water.		
2	NF	99.12	101.75	2.63		mm-hmm, and they need air too, right, to breathe?			
2	NF	102.38	103.31	0.93				page 5	
2	NF	106.67	108.8	2.13		has anybody ever visited the moon?			
2	NF	109.34	110.59	1.25			astronaut.		
2	NF	110.38	116.21	5.83		yeah, yes. twelve astronauts. six american spaceships flew to the moon.			
2	NF	116.9	118.92	2.02		you remember seeing that in jack's book?			
2	NF	119.66	120.32	0.66				page 6	
2	NF	120.6	121.71	1.11		there they are.			
2	NF	122.02	126.52	4.5		the first trip was in nineteen-sixty-nine, so I wasn't even born yet.			
2	NF	127.09	129.48	2.39		the last was in nineteen-seventy-two.			
2	NF	129.68	134.89	5.21			so are you, then were you born during the last?		
2	NF	134.91	145.62	10.71		nope, I wasn't even born then. I was born five years after that. so grandma and grandpa were... oh, like twelve years old then.			
2	NF	145.01	145.81	0.8				page 7	
2	NF	147.15	152.95	5.8		each time, two astronauts stepped onto the moon's surface. look at the suits they got to wear.			
2	NF	153.56	155.32	1.76		do you know why they had to wear that suit?			
2	NF	155.46	155.98	0.52			why?		
2	NF	156.91	161.09	4.18		there's no air on the moon right? so what would happen if they didn't have their own air?			mm-hmm
2	NF	162.955	164.075	1.12			they would die.		
2	NF	164.0	175.85	11.85		yeah. so this, do you see that big tank thing on the back, that had air in it and so they would breathe with that and this would keep all the air inside by them instead of just escaping			He's got him like a soda or something, hmm
2	NF	178.18	178.95	0.77				page 8	
2	NF	183.64	188.64	5.0		astronauts wore spacesuits. spacesuits gave astronauts air to breathe.			
2	NF	189.18	189.66	0.48		right?			
2	NF	190.95	193.26	2.31		do you see the flag they're laying on there?			
2	NF	194.905	195.735	0.83			america.		
2	NF	195.73	198.63	2.9		yeah, it's the american flag, that's where they were from.			
2	NF	199.61	204.44	4.83			astronauts wore spacesuits. spacesuits gave astronauts air to breathe.		
2	NF	203.86	204.66	0.8				page 9	
2	NF	210.16	217.19	7.03			astronauts could jump higher on the moon than they could on earth and they came down more slowly. it was almost like floating.		
2	NF	216.99	219.13	2.14		do you remember that picture we saw in the museum the other day?			
2	NF	219.52	221.68	2.16		what was the guy on the wall?			
2	NF	222.28	223.23	0.95		what was the guy doing?			
2	NF	223.79	226.83	3.04			holding him since there's no gravity?		
2	NF	226.72	230.8	4.08		he had him on one finger, right, right so there's no gravity so he floats			
2	NF	230.41	231.15	0.74				page 10	
2	NF	232.35	234.85	2.5			yeah he's not very strong.		
2	NF	234.71	239.87	5.16		no he wasn't that strong. it would be easy even for you to lift me up, on the way			
2	NF	240.43	241.83	1.4			what's that noise?		
2	NF	240.61	242.71	2.1		I think that's just the heater.			
2	NF	242.77	243.84	1.07		kinda noisy.			
2	NF	244.21	244.79	0.58		yeah.			
2	NF	245.85	248.44	2.59		from the moon, the astronauts could see earth.			
2	NF	249.35	251.67	2.32			stars look far away.		
2	NF	251.23	254.63	3.4		yeah so we live somewhere on there right? what do you think all the blue is there.			
2	NF	254.91	255.69	0.78			water.		
2	NF	255.58	257.18	1.6		all the oceans and stuff?			
2	NF	257.64	258.48	0.84				page 11	
2	NF	258.69	265.45	6.76			sun. new moon. first quarter. full moon. last quarter. earth.		
2	NF	265.5	269.22	3.72		uh-huh. so the moon looks different to us all the time right?			
2	NF	268.41	269.41	1.0			axis.		
2	NF	269.63	271.63	2.0		uh-huh. hold on, let's read this.			
2	NF	271.83	275.34	3.51		about every four weeks, and four weeks make up one...			
2	NF	278.35	280.41	2.06		one... month.			
2	NF	281.01	287.72	6.71		so every four weeks or about every month the moon travels around the earth. so we're going, the earth is going around what.			
2	NF	289.31	290.32	1.01			moon.		
2	NF	290.52	293.41	2.89		no, the moon goes around us. what do we spin around.			
2	NF	294.15	295.55	1.4			the sun.		
2	NF	295.02	299.4	4.38		the sun, yeah. so as we're going around the sun, the earth is going around us.			
2	NF	299.55	302.18	2.63		the sun shines on the moon and lights it up.			
2	NF	302.32	305.33	3.01		right? cause the moon doesn't really give off its own light.			
2	NF	306.41	308.89	2.48		right? it reflects the sun's light?			
2	NF	307.84	310.32	2.48			it's the bestest feeling.		
2	NF	309.29	310.22	0.93				page 12	
2	NF	312.28	314.11	1.83			that's why you can't see it.		
2	NF	314.21	315.83	1.62		well you can see it.			
2	NF	316.23	317.91	1.68			can see it.		
2	NF	318.63	322.05	3.42			you see a bright circle you call it full moon.		
2	NF	321.98	324.12	2.14		do we see a full circle sometimes?			
2	NF	325.63	328.41	2.78		did we see it at halloween or no. or was that a crescent moon.			
2	NF	328.63	329.73	1.1				page 13	
2	NF	328.76	330.61	1.85			that was a ##		
2	NF	330.03	331.17	1.14		yeah.			
2	NF	333.18	336.78	3.6			some nights the moon is half moon.		
2	NF	335.753	337.393	1.64		cause it's half of that.			
2	NF	339.673	340.423	0.75				page 14	
2	NF	339.88	343.56	3.68			other nights, the moon is just a crescent moon.		
2	NF	342.853	345.023	2.17		mm-hmm, just a sliver in the sky.			
2	NF	346.35	347.25	0.9				page 15	
2	NF	348.79	357.17	8.38			now that you know more about the moon, would you still like to visit? maybe someday you can, I would like to		
2	NF	356.7	357.91	1.21		you would like to?			
2	NF	357.41	362.17	4.76			grow up. that little girl is riding on a big spaceship.		
2	NF	361.16	364.18	3.02		yeah. would you want to wear a big spacesuit?			
2	NF	362.58	364.13	1.55	nonfiction stop				
2	F	404.83	406.04	1.21	fiction start				
2	F	404.86	405.5	0.64				Cover	
2	F	405.29	406.96	1.67		do you want to read this one or do you want me to.			
2	F	405.81	409.08	3.27			what's next, what next baby bear		
2	F	409.38	410.33	0.95			I want to read it.		
2	F	410.38	412.07	1.69			what next baby bear?		
2	F	413.06	414.07	1.01				page 1	
2	F	413.89	416.73	2.84			can I go to the moon, asked baby bear.		
2	F	420.25	421.59	1.34				page 2	
2	F	423.42	427.06	3.64			no, it's your bathtime, said miss bear.		
2	F	427.2	430.32	3.12			and you'd have to find a rocket first.		
2	F	433.29	434.98	1.69		it's the heat again.			
2	F	435.05	436.06	1.01				page 3	
2	F	435.51	442.21	6.7			that's noisy. baby bear found a rocket in the closet under the stairs.		
2	F	442.29	443.28	0.99				page 4	
2	F	443.05	444.76	1.71			and the space helmet		
2	F	444.1	445.39	1.29		where's his rocket?			
2	F	445.73	446.69	0.96				page 3	
2	F	446.28	447.0	0.72		oh.			
2	F	450.23	453.07	2.84			he must be just getting it out.		
2	F	452.4	453.13	0.73		yeah.			
2	F	453.42	454.19	0.77				page 4	
2	F	454.11	459.39	5.28			he found a space helmet in the kitchen and a pair of space boots by the front door.		
2	F	459.01	460.41	1.4		what's that on his head?			
2	F	460.52	462.39	1.87			a bowl.		
2	F	462.42	464.34	1.92		a bowl. like our strainer.			
2	F	464.83	465.45	0.62		mm-hmm.			
2	F	469.25	473.45	4.2			and he found boots by the ##		
2	F	473.1	473.92	0.82		mm-hmm.			
