_ID	KIND	SPEAKER	MATCH	SPATIAL	CATEGORY	COUNT
10	F	C	all	1	continuous amount	1
10	F	C	bump	1	spatial features and properties	2
10	F	C	cat	0	animal name	1
10	F	C	gray	0	color	1
10	F	C	high	1	location and directions	1
10	F	C	i don't know	0	question	1
10	F	C	out	1	location and directions	1
10	F	C	right	1	location and directions	2
10	F	C	straight	1	spatial features and properties	1
10	F	C	under	1	location and directions	1
10	F	C	up	1	location and directions	1
10	F	C	why	0	question	1
10	F	C	with	1	location and directions	1
10	F	P	a little	1	continuous amount	1
10	F	P	above	1	location and directions	1
10	F	P	around	1	location and directions	1
10	F	P	away	1	location and directions	1
10	F	P	back	1	location and directions	2
10	F	P	bump	1	spatial features and properties	3
10	F	P	by	1	location and directions	2
10	F	P	can	0	question	6
10	F	P	cat	0	animal name	3
10	F	P	color	0	color	2
10	F	P	could	0	question	1
10	F	P	did	0	question	1
10	F	P	dirt	0	nature	1
10	F	P	do	0	question	14
10	F	P	does	0	question	5
10	F	P	down	1	location and directions	3
10	F	P	flat	1	spatial features and properties	2
10	F	P	front	1	location and directions	1
10	F	P	gray	0	color	1
10	F	P	how	0	question	5
10	F	P	in	1	location and directions	4
10	F	P	is that	0	question	1
10	F	P	maybe	0	question	2
10	F	P	out	1	location and directions	3
10	F	P	past	1	location and directions	2
10	F	P	right	1	location and directions	4
10	F	P	some	1	continuous amount	4
10	F	P	through	1	location and directions	2
10	F	P	tree	0	nature	1
10	F	P	under	1	location and directions	1
10	F	P	up	1	location and directions	6
10	F	P	what	0	question	21
10	F	P	when	0	question	1
10	F	P	who	0	question	2
10	F	P	why	0	question	5
10	F	P	will	0	question	1
10	F	P	with	1	location and directions	5
10	NF	C	all	1	continuous amount	2
10	NF	C	bump	1	spatial features and properties	1
10	NF	C	can	0	question	3
10	NF	C	do	0	question	1
10	NF	C	half 	1	continuous amount	1
10	NF	C	head	0	body part	1
10	NF	C	i don't know	0	question	3
10	NF	C	over	1	location and directions	1
10	NF	C	up	1	location and directions	1
10	NF	C	what	0	question	4
10	NF	C	where	0	question	1
10	NF	C	with	1	location and directions	1
10	NF	P	all	1	continuous amount	2
10	NF	P	animal	0	animal name	2
10	NF	P	around	1	location and directions	7
10	NF	P	away	1	location and directions	2
10	NF	P	back	1	location and directions	2
10	NF	P	big	1	spatial dimension	3
10	NF	P	bird	0	animal name	1
10	NF	P	blue	0	color	1
10	NF	P	bright	0	adjective	1
10	NF	P	bump	1	spatial features and properties	1
10	NF	P	by	1	location and directions	2
10	NF	P	can	0	question	8
10	NF	P	circle	1	shapes	2
10	NF	P	corner	1	spatial features and properties	1
10	NF	P	could	0	question	5
10	NF	P	did	0	question	5
10	NF	P	do	0	question	15
10	NF	P	does	0	question	4
10	NF	P	down	1	location and directions	4
10	NF	P	far	1	location and directions	2
10	NF	P	flat	1	spatial features and properties	3
10	NF	P	full	1	spatial dimension	2
10	NF	P	grass	0	nature	1
10	NF	P	half 	1	continuous amount	2
10	NF	P	high	1	location and directions	2
10	NF	P	how	0	question	4
10	NF	P	in	1	location and directions	11
10	NF	P	is that	0	question	1
10	NF	P	is this	0	question	1
10	NF	P	light	0	adjective	1
10	NF	P	maybe	0	question	3
10	NF	P	middle	1	location and directions	1
10	NF	P	out	1	location and directions	1
10	NF	P	over	1	location and directions	1
10	NF	P	part	1	continuous amount	2
10	NF	P	piece	1	continuous amount	1
10	NF	P	plants	0	nature	2
10	NF	P	right	1	location and directions	9
10	NF	P	shiny	0	adjective	2
10	NF	P	side	1	spatial features and properties	1
10	NF	P	sky	0	nature	3
10	NF	P	some	1	continuous amount	1
10	NF	P	sun	0	nature	2
10	NF	P	surface	1	spatial features and properties	1
10	NF	P	tall	1	spatial dimension	2
10	NF	P	turn	1	orientation and transformation	1
10	NF	P	up	1	location and directions	8
10	NF	P	water	0	nature	2
10	NF	P	what	0	question	20
10	NF	P	when	0	question	4
10	NF	P	where	0	question	1
10	NF	P	which	0	question	3
10	NF	P	white	0	color	1
10	NF	P	who	0	question	5
10	NF	P	why	0	question	4
10	NF	P	wide	1	spatial dimension	2
10	NF	P	with	1	location and directions	1
101	F	C	above	1	location and directions	1
101	F	C	around	1	location and directions	1
101	F	C	away	1	location and directions	1
101	F	C	back	1	location and directions	1
101	F	C	bump	1	spatial features and properties	1
101	F	C	by	1	location and directions	2
101	F	C	can	0	question	2
101	F	C	did	0	question	1
101	F	C	dirt	0	nature	1
101	F	C	do	0	question	1
101	F	C	down	1	location and directions	3
101	F	C	front	1	location and directions	1
101	F	C	how	0	question	1
101	F	C	in	1	location and directions	6
101	F	C	over	1	location and directions	1
101	F	C	past	1	location and directions	1
101	F	C	some	1	continuous amount	1
101	F	C	tree	0	nature	1
101	F	C	under	1	location and directions	1
101	F	C	up	1	location and directions	3
101	F	C	what	0	question	4
101	F	C	will	0	question	1
101	F	C	with	1	location and directions	1
101	F	P	back	1	location and directions	1
101	F	P	bump	1	spatial features and properties	1
101	F	P	do	0	question	2
101	F	P	in	1	location and directions	1
101	F	P	right	1	location and directions	1
101	F	P	under	1	location and directions	1
101	F	P	what	0	question	5
101	F	P	with	1	location and directions	1
101	NF	C	all	1	continuous amount	3
101	NF	C	animal	0	animal name	1
101	NF	C	around	1	location and directions	2
101	NF	C	away	1	location and directions	1
101	NF	C	big	1	spatial dimension	1
101	NF	C	bright	0	adjective	1
101	NF	C	can	0	question	3
101	NF	C	circle	1	shapes	1
101	NF	C	could	0	question	4
101	NF	C	dark	0	adjective	1
101	NF	C	do	0	question	1
101	NF	C	down	1	location and directions	1
101	NF	C	far	1	location and directions	1
101	NF	C	flat	1	spatial features and properties	1
101	NF	C	full	1	spatial dimension	3
101	NF	C	half 	1	continuous amount	1
101	NF	C	high	1	location and directions	1
101	NF	C	in	1	location and directions	3
101	NF	C	light	0	adjective	2
101	NF	C	maybe	0	question	1
101	NF	C	part	1	continuous amount	1
101	NF	C	plants	0	nature	1
101	NF	C	quarter	1	continuous amount	2
101	NF	C	shiny	0	adjective	1
101	NF	C	some	1	continuous amount	2
101	NF	C	sun	0	nature	1
101	NF	C	surface	1	spatial features and properties	1
101	NF	C	tall	1	spatial dimension	1
101	NF	C	up	1	location and directions	2
101	NF	C	water	0	nature	2
101	NF	C	what	0	question	2
101	NF	C	when	0	question	2
101	NF	C	why	0	question	1
101	NF	C	wide	1	spatial dimension	1
101	NF	P	a lot	1	continuous amount	1
101	NF	P	am i	0	question	1
101	NF	P	animal	0	animal name	1
101	NF	P	around	1	location and directions	1
101	NF	P	behind	1	location and directions	1
101	NF	P	blue	0	color	1
101	NF	P	brown	0	color	1
101	NF	P	can	0	question	1
101	NF	P	color	0	color	1
101	NF	P	did	0	question	3
101	NF	P	does	0	question	1
101	NF	P	down	1	location and directions	2
101	NF	P	full	1	spatial dimension	2
101	NF	P	green	0	color	1
101	NF	P	how	0	question	2
101	NF	P	in	1	location and directions	4
101	NF	P	is that	0	question	1
101	NF	P	much	1	continuous amount	1
101	NF	P	over	1	location and directions	2
101	NF	P	plants	0	nature	1
101	NF	P	right	1	location and directions	1
101	NF	P	sun	0	nature	4
101	NF	P	tall	1	spatial dimension	2
101	NF	P	up	1	location and directions	2
101	NF	P	water	0	nature	1
101	NF	P	what	0	question	1
101	NF	P	when	0	question	2
101	NF	P	where	0	question	1
