_ID	KIND	SPEAKER	WORD_TYP	WORD_TOK	PATT_TYP	PATT_TOK	SPA_TYP	SPA_TOK	SD_TYP	SD_TOK	SHA_TYP	SHA_TOK	LD_TYP	LD_TOK	CA_TYP	CA_TOK	SF_TYP	SF_TOK	OT_TYP	OT_TOK	ANI_TYP	ANI_TOK	NAT_TYP	NAT_TOK	BP_TYP	BP_TOK	COL_TYP	COL_TOK	ADJ_TYP	ADJ_TOK	Q_TYP	Q_TOK
10	F	C	72	150	13	15	9	11	0	0	0	0	6	7	1	1	2	3	0	0	1	1	0	0	0	0	1	1	0	0	2	2
10	F	P	211	721	37	121	19	48	0	0	0	0	15	38	2	5	2	5	0	0	1	3	2	2	0	0	2	3	0	0	13	65
10	NF	C	70	138	12	20	6	7	0	0	0	0	3	3	2	3	1	1	0	0	0	0	0	0	1	1	0	0	0	0	5	12
10	NF	P	240	1049	57	182	30	80	4	9	1	2	14	53	5	8	5	7	1	1	2	3	5	10	0	0	2	2	3	4	15	83
101	F	C	136	306	23	37	15	25	0	0	0	0	13	23	1	1	1	1	0	0	0	0	2	2	0	0	0	0	0	0	6	10
101	F	P	68	99	8	13	6	6	0	0	0	0	5	5	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	7
101	NF	C	140	325	34	53	19	29	4	6	1	1	7	11	5	9	2	2	0	0	1	1	3	4	0	0	0	0	4	5	7	14
101	NF	P	133	360	30	45	12	20	2	4	0	0	7	13	3	3	0	0	0	0	1	1	3	6	0	0	4	4	0	0	10	14
102	F	C	105	231	18	33	8	13	0	0	0	0	6	11	1	1	1	1	0	0	1	1	2	2	0	0	1	1	0	0	6	16
102	F	P	219	638	33	86	20	35	1	1	0	0	14	28	3	4	1	1	1	1	1	1	1	1	1	1	1	1	0	0	9	47
102	NF	C	109	241	28	44	14	23	3	6	0	0	8	11	1	3	1	1	1	2	1	1	2	2	1	1	0	0	0	0	10	17
102	NF	P	234	742	46	134	28	71	5	10	1	1	13	44	5	12	2	2	2	2	1	1	3	4	0	0	0	0	3	3	11	55
103	F	C	8	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
103	F	P	128	348	22	45	14	23	0	0	0	0	12	21	1	1	1	1	0	0	0	0	2	4	0	0	0	0	0	0	6	18
103	NF	C	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
103	NF	P	129	312	35	54	18	27	4	5	1	1	7	14	3	4	3	3	0	0	1	1	3	4	1	1	0	0	3	3	9	18
104	F	C	108	250	16	29	9	18	0	0	0	0	8	16	1	2	0	0	0	0	1	1	1	1	0	0	0	0	0	0	5	9
104	F	P	164	481	29	58	17	32	1	1	0	0	13	28	1	1	2	2	0	0	0	0	2	2	0	0	0	0	0	0	10	24
104	NF	C	49	84	8	10	5	7	0	0	0	0	4	5	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	3	3
104	NF	P	158	424	37	75	23	39	5	9	1	1	10	20	3	4	3	4	1	1	1	1	3	4	0	0	0	0	3	3	7	28
105	F	C	67	115	9	12	6	8	0	0	0	0	5	6	1	2	0	0	0	0	1	2	0	0	0	0	0	0	0	0	2	2
105	F	P	169	507	28	68	16	31	0	0	0	0	13	28	2	2	1	1	0	0	0	0	3	3	0	0	0	0	0	0	9	34
105	NF	C	69	131	12	15	3	3	1	1	0	0	1	1	0	0	1	1	0	0	2	2	3	5	0	0	0	0	0	0	4	5
105	NF	P	167	549	41	96	19	31	4	6	1	1	7	13	3	5	3	5	1	1	1	1	5	8	0	0	0	0	3	3	13	53
106	F	C	204	924	26	74	14	32	1	1	0	0	9	20	3	9	0	0	1	2	0	0	2	2	0	0	1	1	0	0	9	39
106	F	P	236	1098	40	138	22	66	1	2	0	0	16	40	3	6	1	1	1	17	1	1	2	2	3	3	0	0	0	0	12	66
106	NF	C	159	547	23	52	15	27	3	3	0	0	8	14	3	8	0	0	1	2	0	0	0	0	2	2	0	0	0	0	6	23
106	NF	P	217	879	43	112	24	42	4	4	2	3	10	20	5	11	2	3	1	1	1	2	3	5	0	0	0	0	3	3	12	60
107	F	C	14	22	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
107	F	P	146	335	23	35	14	21	0	0	0	0	11	18	2	2	1	1	0	0	0	0	2	2	0	0	0	0	0	0	7	12
107	NF	C	72	125	14	23	6	7	1	1	0	0	2	2	2	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	8	16
107	NF	P	263	875	51	122	27	58	6	13	1	1	13	32	4	7	2	4	1	1	1	1	4	8	1	1	1	1	3	3	14	50
108	F	C	60	91	8	9	5	6	0	0	0	0	4	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	2
108	F	P	206	622	36	68	21	41	1	1	1	1	14	33	4	5	1	1	0	0	1	1	2	2	2	3	1	1	0	0	9	20
108	NF	C	48	83	10	12	4	5	1	2	0	0	0	0	3	3	0	0	0	0	1	1	1	2	1	1	0	0	0	0	3	3
108	NF	P	199	514	43	85	24	41	6	13	1	1	10	18	5	7	2	2	0	0	2	2	3	4	0	0	2	2	3	3	9	33
109	F	C	10	11	1	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109	F	P	145	360	26	51	16	28	0	0	0	0	12	24	2	2	1	1	1	1	0	0	2	2	0	0	0	0	0	0	8	21
109	NF	C	15	25	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109	NF	P	164	408	37	70	22	36	5	9	1	2	10	17	4	6	2	2	0	0	1	1	3	4	0	0	0	0	3	3	8	26
110	F	C	107	214	20	32	12	21	0	0	0	0	8	17	2	2	2	2	0	0	0	0	2	2	0	0	1	1	0	0	5	8
110	F	P	173	664	26	76	16	43	0	0	0	0	13	38	2	2	1	3	0	0	0	0	2	4	0	0	1	1	0	0	7	28
110	NF	C	95	209	26	40	12	15	2	4	1	2	5	5	4	4	0	0	0	0	2	2	1	1	1	1	0	0	1	2	9	19
110	NF	P	155	585	36	90	17	46	3	6	0	0	9	29	3	7	2	4	0	0	1	3	3	7	0	0	0	0	2	2	13	32
111	F	C	118	251	21	30	13	18	0	0	0	0	11	16	1	1	1	1	0	0	0	0	2	2	0	0	0	0	0	0	6	10
111	F	P	45	65	8	12	3	3	0	0	0	0	1	1	2	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	4	8
111	NF	C	152	387	34	61	20	33	4	4	1	1	9	19	4	7	2	2	0	0	2	2	3	4	0	0	0	0	3	3	6	19
111	NF	P	91	182	13	26	9	13	3	3	1	2	2	4	1	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	4	13
112	F	C	28	46	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2
112	F	P	142	335	24	42	15	28	0	0	0	0	13	26	1	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	8	13
112	NF	C	31	45	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1
112	NF	P	167	412	43	69	25	35	6	7	2	2	12	19	3	4	2	3	0	0	1	1	3	6	1	1	0	0	3	3	10	23
113	F	C	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113	F	P	132	317	23	38	14	23	0	0	0	0	12	21	1	1	1	1	0	0	0	0	2	3	0	0	0	0	0	0	7	12
113	NF	C	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113	NF	P	120	274	34	49	18	24	5	5	1	1	8	14	2	2	2	2	0	0	1	1	3	3	0	0	0	0	3	3	9	18
114	F	C	34	41	3	3	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2
114	F	P	162	390	30	51	19	30	0	0	0	0	14	25	4	4	1	1	0	0	1	1	2	4	1	1	0	0	0	0	7	15
114	NF	C	45	62	10	11	7	7	1	1	0	0	5	5	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3	4
114	NF	P	187	473	41	77	23	39	5	9	1	1	11	23	3	3	3	3	0	0	1	1	3	6	0	0	0	0	3	3	11	28
12	F	C	22	27	3	4	2	3	0	0	1	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
12	F	P	161	435	33	70	20	36	0	0	0	0	16	30	3	5	1	1	0	0	1	1	2	3	0	0	0	0	0	0	10	30
12	NF	C	26	49	4	10	1	2	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	8
12	NF	P	204	717	46	110	26	53	6	12	1	1	10	26	7	12	2	2	0	0	1	1	5	7	0	0	1	3	3	4	10	42
13	F	C	23	32	2	2	2	2	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	F	P	133	321	25	42	15	26	0	0	0	0	12	22	1	1	1	1	1	2	0	0	2	2	0	0	0	0	0	0	8	14
13	NF	C	94	219	18	30	14	23	2	2	0	0	7	15	5	6	0	0	0	0	0	0	1	1	1	1	0	0	0	0	2	5
13	NF	P	251	1067	56	182	34	90	5	7	2	2	15	55	8	19	3	4	1	3	1	2	4	17	0	0	0	0	3	5	14	68
15	F	P	136	327	23	38	14	22	0	0	0	0	12	20	1	1	1	1	0	0	0	0	2	2	0	0	0	0	0	0	7	14
15	NF	C	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	NF	P	129	312	34	60	19	27	4	5	1	1	9	16	3	3	2	2	0	0	1	1	3	4	0	0	0	0	3	3	8	25
16	F	C	40	60	8	10	1	1	0	0	0	0	1	1	0	0	0	0	0	0	2	3	1	2	0	0	0	0	0	0	4	4
16	F	P	166	409	34	66	17	34	1	1	0	0	14	30	1	2	1	1	0	0	1	1	5	7	2	2	0	0	0	0	9	22
16	NF	C	58	110	12	14	8	9	1	2	0	0	3	3	3	3	1	1	0	0	0	0	2	3	1	1	0	0	0	0	1	1
16	NF	P	251	870	56	144	36	83	7	14	1	1	16	45	7	13	3	7	2	3	1	1	4	12	1	2	1	1	3	6	10	39
17	F	C	67	111	11	13	7	7	1	1	0	0	3	3	1	1	1	1	1	1	2	3	0	0	1	1	0	0	0	0	1	2
17	F	P	166	460	30	49	18	30	1	1	0	0	14	25	1	1	1	2	1	1	1	1	2	2	1	1	0	0	0	0	8	15
17	NF	C	55	134	10	19	5	8	2	5	0	0	1	1	2	2	0	0	0	0	1	5	2	2	0	0	0	0	0	0	2	4
17	NF	P	180	641	42	95	23	49	6	8	1	1	11	33	3	5	2	2	0	0	2	5	3	5	0	0	0	0	3	3	11	33
19	F	C	38	47	4	4	2	2	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2
19	F	P	147	333	27	43	17	25	0	0	0	0	14	22	2	2	1	1	0	0	0	0	2	2	0	0	0	0	0	0	8	16
19	NF	C	24	42	3	5	2	3	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2
19	NF	P	138	314	31	48	16	23	4	5	1	1	8	14	1	1	2	2	0	0	1	1	3	3	0	0	0	0	3	3	8	18
2	F	C	136	331	23	45	13	26	0	0	0	0	12	25	1	1	0	0	0	0	0	0	3	4	0	0	0	0	0	0	7	15
2	F	P	78	148	13	26	3	3	0	0	0	0	3	3	0	0	0	0	0	0	0	0	2	3	1	1	0	0	0	0	7	19
2	NF	C	111	208	28	38	16	18	5	6	1	1	5	5	3	4	2	2	0	0	1	1	3	7	0	0	0	0	1	1	7	11
2	NF	P	185	588	31	90	14	48	2	4	1	1	7	34	2	6	1	1	1	2	1	1	5	8	0	0	1	1	2	4	8	28
20	F	C	83	151	12	17	4	6	0	0	0	0	4	6	0	0	0	0	0	0	1	1	1	1	0	0	1	1	0	0	5	8
20	F	P	266	1001	45	143	22	73	1	1	0	0	18	62	2	9	1	1	0	0	3	4	4	7	0	0	1	1	0	0	15	58
20	NF	C	108	312	15	27	5	7	1	1	1	1	2	4	0	0	1	1	0	0	1	1	2	4	0	0	2	2	0	0	5	13
20	NF	P	259	995	52	148	27	71	6	11	1	2	9	37	9	15	2	6	0	0	1	1	4	10	0	0	7	8	1	2	12	56
21	F	C	33	43	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	3	4
21	F	P	179	557	32	77	16	33	1	1	0	0	13	29	1	2	1	1	0	0	1	1	2	3	2	2	0	0	0	0	11	38
21	NF	C	67	124	10	14	2	2	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	2	1	1	0	0	0	0	6	9
21	NF	P	227	860	50	128	26	48	5	8	1	1	12	27	6	10	2	2	0	0	1	1	3	5	3	4	1	1	3	4	13	65
22	F	C	94	195	18	27	7	9	0	0	0	0	4	5	2	3	1	1	0	0	1	2	1	1	0	0	2	2	0	0	7	13
22	F	P	209	632	41	106	21	38	1	1	1	1	15	31	2	2	1	2	1	1	1	3	2	2	3	3	2	2	0	0	12	58
22	NF	C	121	344	22	59	8	18	2	5	0	0	2	7	3	4	1	2	0	0	0	0	1	1	2	5	1	2	1	1	9	32
22	NF	P	238	937	53	167	27	53	6	12	1	1	12	26	4	5	3	8	1	1	1	1	5	5	2	2	0	0	3	4	15	102
23	F	C	20	22	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
23	F	P	153	404	27	52	16	28	0	0	0	0	13	24	2	3	1	1	0	0	0	0	2	2	0	0	0	0	0	0	9	22
23	NF	C	44	74	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	1	1	0	0	1	1
23	NF	P	187	576	42	90	18	27	4	5	1	1	9	15	2	3	2	3	0	0	1	2	5	8	1	1	1	1	3	5	13	46
24	F	C	58	123	6	9	2	3	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	1	1	0	0	3	5
24	F	P	198	636	31	82	16	34	1	1	0	0	13	30	1	2	1	1	0	0	0	0	2	4	0	0	0	0	1	1	12	43
24	NF	C	38	66	7	7	3	3	1	1	0	0	2	2	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	2	2
24	NF	P	202	631	44	85	24	40	4	6	1	1	10	22	7	9	2	2	0	0	1	1	3	8	0	0	2	2	3	4	11	30
25	F	C	65	120	9	11	3	4	0	0	0	0	3	4	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	4	5
25	F	P	163	413	31	62	16	28	0	0	0	0	13	25	2	2	1	1	0	0	0	0	3	4	0	0	0	0	0	0	12	30
25	NF	C	61	99	9	11	6	6	0	0	1	1	3	3	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	2	4
25	NF	P	166	364	42	60	21	31	4	5	1	1	9	18	5	5	2	2	0	0	1	1	4	4	0	0	0	0	3	3	13	21
26	F	C	76	144	15	22	7	9	0	0	0	0	6	8	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	7	12
26	F	P	187	510	27	59	16	33	1	1	0	0	13	29	1	2	1	1	0	0	0	0	2	2	0	0	0	0	0	0	9	24
26	NF	C	88	176	17	25	9	13	1	1	0	0	4	7	3	3	1	2	0	0	0	0	2	2	0	0	0	0	1	1	5	9
26	NF	P	264	977	53	189	32	88	7	21	1	1	13	42	8	21	3	3	0	0	1	1	3	12	1	1	0	0	4	11	12	76
27	F	C	119	244	12	19	8	13	0	0	0	0	7	12	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	6
27	F	P	234	988	33	123	19	56	1	3	0	0	15	49	2	3	1	1	0	0	0	0	3	3	0	0	0	0	0	0	11	64
27	NF	C	141	349	16	31	7	14	0	0	1	1	5	12	1	1	0	0	0	0	0	0	3	6	0	0	2	3	0	0	4	8
27	NF	P	361	2139	59	337	29	146	7	26	1	1	11	95	6	18	3	5	1	1	1	3	4	21	2	7	4	7	3	6	16	147
28	F	C	36	45	3	3	2	2	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1
28	F	P	182	594	30	87	18	40	1	1	0	0	14	31	2	7	1	1	0	0	0	0	2	5	0	0	0	0	0	0	10	42
28	NF	C	70	157	12	22	4	6	0	0	2	2	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	16
28	NF	P	216	690	43	102	25	53	6	12	1	1	13	33	3	5	2	2	0	0	1	1	4	7	0	0	1	1	3	3	9	37
