_ID	KIND	SPEAKER	MATCH	SPATIAL	CATEGORY	COUNT
1	12	C	a little	1	continuous amount	2
1	12	C	around	1	location and directions	2
1	12	C	back	1	location and directions	1
1	12	C	bit	1	continuous amount	1
1	12	C	body	0	body part	3
1	12	C	bottom	1	location and directions	1
1	12	C	butterfly	0	color	1
1	12	C	by	1	location and directions	1
1	12	C	circle	1	shapes	1
1	12	C	corn	0	nature	2
1	12	C	cow	0	animal name	15
1	12	C	do	0	question	2
1	12	C	does	0	question	2
1	12	C	duck	0	animal name	2
1	12	C	face	0	body part	1
1	12	C	horse	0	animal name	3
1	12	C	how	0	question	1
1	12	C	is that	0	question	1
1	12	C	leg	0	body part	1
1	12	C	piece	1	continuous amount	3
1	12	C	pig	0	animal name	11
1	12	C	red	0	color	1
1	12	C	right	1	location and directions	14
1	12	C	sheep	0	animal name	1
1	12	C	tail	0	body part	1
1	12	C	turn	1	orientation and transformation	22
1	12	C	what	0	question	7
1	12	C	where	0	question	2
1	12	C	with	1	location and directions	1
1	12	E	a little	1	continuous amount	1
1	12	E	all	1	continuous amount	2
1	12	E	bit	1	continuous amount	1
1	12	E	can	0	question	14
1	12	E	circle	1	shapes	1
1	12	E	cow	0	animal name	2
1	12	E	did	0	question	9
1	12	E	do	0	question	91
1	12	E	does	0	question	12
1	12	E	duck	0	animal name	2
1	12	E	horse	0	animal name	1
1	12	E	how	0	question	17
1	12	E	i don't know	0	question	3
1	12	E	in	1	location and directions	3
1	12	E	is that	0	question	1
1	12	E	leg	0	body part	1
1	12	E	maybe	0	question	1
1	12	E	out	1	location and directions	3
1	12	E	piece	1	continuous amount	41
1	12	E	pig	0	animal name	2
1	12	E	pink	0	color	1
1	12	E	right	1	location and directions	11
1	12	E	sheep	0	animal name	1
1	12	E	should i	0	question	63
1	12	E	tail	0	body part	1
1	12	E	turn	1	orientation and transformation	2
1	12	E	up	1	location and directions	1
1	12	E	what	0	question	81
1	12	E	when	0	question	2
1	12	E	where	0	question	14
1	12	E	with	1	location and directions	51
10	12	C	animal	0	animal name	1
10	12	C	around	1	location and directions	2
10	12	C	do	0	question	1
10	12	C	down	1	location and directions	3
10	12	C	eye	0	body part	1
10	12	C	head	0	body part	1
10	12	C	i don't know	0	question	1
10	12	C	leg	0	body part	1
10	12	C	maybe	0	question	1
10	12	C	over	1	location and directions	2
10	12	C	piece	1	continuous amount	2
10	12	C	right	1	location and directions	1
10	12	C	square	1	shapes	1
10	12	C	tail	0	body part	2
10	12	C	together	1	location and directions	1
10	12	C	turn	1	orientation and transformation	3
10	12	C	up	1	location and directions	5
10	12	C	upside down	1	orientation and transformation	1
10	12	C	when	0	question	1
10	12	E	around	1	location and directions	2
10	12	E	can	0	question	5
10	12	E	could	0	question	2
10	12	E	cow	0	animal name	1
10	12	E	do	0	question	21
10	12	E	does	0	question	1
10	12	E	down	1	location and directions	1
10	12	E	how	0	question	21
10	12	E	in	1	location and directions	1
10	12	E	is that	0	question	1
10	12	E	out	1	location and directions	1
10	12	E	over	1	location and directions	1
10	12	E	piece	1	continuous amount	10
10	12	E	right	1	location and directions	5
10	12	E	should i	0	question	6
10	12	E	tail	0	body part	2
10	12	E	together	1	location and directions	2
10	12	E	turn	1	orientation and transformation	3
10	12	E	up	1	location and directions	3
10	12	E	what	0	question	21
10	12	E	where	0	question	1
10	12	E	why	0	question	1
10	12	E	with	1	location and directions	15
100	12	C	all	1	continuous amount	2
100	12	C	around	1	location and directions	1
100	12	C	connect	1	location and directions	6
100	12	C	horse	0	animal name	1
100	12	C	how	0	question	1
100	12	C	out	1	location and directions	1
100	12	C	piece	1	continuous amount	3
100	12	C	pink	0	color	1
100	12	C	right	1	location and directions	2
100	12	C	shape	1	shapes	4
100	12	C	square	1	shapes	1
100	12	C	turn	1	orientation and transformation	5
100	12	E	can	0	question	4
100	12	E	connect	1	location and directions	1
100	12	E	did	0	question	2
100	12	E	do	0	question	3
100	12	E	how	0	question	6
100	12	E	piece	1	continuous amount	10
100	12	E	right	1	location and directions	4
100	12	E	shape	1	shapes	5
100	12	E	should i	0	question	2
100	12	E	turn	1	orientation and transformation	3
100	12	E	what	0	question	13
100	12	E	with	1	location and directions	1
101	12	C	color	0	color	2
101	12	C	corner	1	spatial features and properties	4
101	12	C	over	1	location and directions	1
101	12	C	part	1	continuous amount	1
101	12	C	side	1	spatial features and properties	1
101	12	C	top	1	location and directions	1
101	12	E	did	0	question	1
101	12	E	do	0	question	11
101	12	E	how	0	question	8
101	12	E	piece	1	continuous amount	7
101	12	E	right	1	location and directions	1
101	12	E	should i	0	question	7
101	12	E	side	1	spatial features and properties	2
101	12	E	top	1	location and directions	1
101	12	E	what	0	question	14
101	12	E	where	0	question	1
101	12	E	which	0	question	1
101	12	E	with	1	location and directions	7
102	12	C	a little	1	continuous amount	1
102	12	C	big	1	spatial dimension	2
102	12	C	black	0	color	1
102	12	C	brown	0	color	2
102	12	C	cat	0	animal name	1
102	12	C	chicken	0	animal name	1
102	12	C	color	0	color	1
102	12	C	corner	1	spatial features and properties	2
102	12	C	cow	0	animal name	1
102	12	C	curve	1	spatial features and properties	4
102	12	C	do	0	question	1
102	12	C	face	0	body part	1
102	12	C	how	0	question	3
102	12	C	in	1	location and directions	1
102	12	C	line	1	spatial features and properties	1
102	12	C	little	1	spatial dimension	1
102	12	C	maybe	0	question	4
102	12	C	over	1	location and directions	3
102	12	C	piece	1	continuous amount	1
102	12	C	pink	0	color	2
102	12	C	right	1	location and directions	1
102	12	C	side	1	spatial features and properties	3
102	12	C	some	1	continuous amount	4
102	12	C	white	0	color	1
102	12	E	corner	1	spatial features and properties	1
102	12	E	did	0	question	1
102	12	E	do	0	question	17
102	12	E	does	0	question	3
102	12	E	how	0	question	12
102	12	E	in	1	location and directions	1
102	12	E	is that	0	question	3
102	12	E	over	1	location and directions	1
102	12	E	piece	1	continuous amount	2
102	12	E	right	1	location and directions	1
102	12	E	should i	0	question	12
102	12	E	side	1	spatial features and properties	1
102	12	E	what	0	question	15
102	12	E	where	0	question	8
102	12	E	which	0	question	1
102	12	E	why	0	question	1
102	12	E	with	1	location and directions	9
103	12	C	bottom	1	location and directions	1
103	12	C	right	1	location and directions	2
103	12	C	top	1	location and directions	1
103	12	C	where	0	question	1
103	12	E	back	1	location and directions	2
103	12	E	bottom	1	location and directions	1
103	12	E	can	0	question	1
103	12	E	do	0	question	14
103	12	E	does	0	question	2
103	12	E	how	0	question	11
103	12	E	piece	1	continuous amount	9
103	12	E	right	1	location and directions	3
103	12	E	should i	0	question	9
103	12	E	top	1	location and directions	1
103	12	E	up	1	location and directions	1
103	12	E	what	0	question	13
103	12	E	where	0	question	4
103	12	E	with	1	location and directions	10
104	12	C	by	1	location and directions	1
104	12	C	can	0	question	2
104	12	C	corner	1	spatial features and properties	2
104	12	C	do	0	question	2
104	12	C	grass	0	nature	1
104	12	C	line	1	spatial features and properties	1
104	12	C	right	1	location and directions	1
104	12	C	tail	0	body part	1
104	12	E	corner	1	spatial features and properties	2
104	12	E	do	0	question	14
104	12	E	how	0	question	10
104	12	E	line	1	spatial features and properties	1
104	12	E	piece	1	continuous amount	3
104	12	E	should i	0	question	7
104	12	E	tail	0	body part	1
104	12	E	together	1	location and directions	1
104	12	E	what	0	question	14
104	12	E	with	1	location and directions	7
105	12	C	right	1	location and directions	2
105	12	C	where	0	question	1
105	12	E	all	1	continuous amount	1
105	12	E	back	1	location and directions	2
105	12	E	could	0	question	2
105	12	E	did	0	question	2
105	12	E	do	0	question	12
105	12	E	does	0	question	7
105	12	E	how	0	question	9
105	12	E	in	1	location and directions	3
105	12	E	is that	0	question	9
105	12	E	is this	0	question	2
105	12	E	piece	1	continuous amount	13
105	12	E	place	1	location and directions	1
105	12	E	right	1	location and directions	9
105	12	E	should i	0	question	10
105	12	E	some	1	continuous amount	1
105	12	E	spots	0	body part	2
