_ID	KIND	SPEAKER	WORD_TYP	WORD_TOK	PATT_TYP	PATT_TOK	SPA_TYP	SPA_TOK	SD_TYP	SD_TOK	SHA_TYP	SHA_TOK	LD_TYP	LD_TOK	CA_TYP	CA_TOK	SF_TYP	SF_TOK	OT_TYP	OT_TOK	ANI_TYP	ANI_TOK	NAT_TYP	NAT_TOK	BP_TYP	BP_TOK	COL_TYP	COL_TOK	ADJ_TYP	ADJ_TOK	Q_TYP	Q_TOK
1	12	C	116	560	29	106	11	49	0	0	1	1	6	20	3	6	0	0	1	22	5	32	1	2	4	6	2	2	0	0	6	15
1	12	E	125	1323	31	436	11	117	0	0	1	1	5	69	4	45	0	0	1	2	5	8	0	0	2	2	1	1	0	0	12	308
10	12	C	52	143	19	31	10	21	0	0	1	1	6	14	1	2	0	0	2	4	1	1	0	0	4	5	0	0	0	0	4	4
10	12	E	82	471	23	127	11	44	0	0	0	0	9	31	1	10	0	0	1	3	1	1	0	0	1	2	0	0	0	0	10	80
100	12	C	46	98	12	28	9	25	0	0	2	5	4	10	2	5	0	0	1	5	1	1	0	0	0	0	1	1	0	0	1	1
100	12	E	49	235	12	54	6	24	0	0	1	5	3	6	1	10	0	0	1	3	0	0	0	0	0	0	0	0	0	0	6	30
101	12	C	33	95	6	10	5	8	0	0	0	0	2	2	1	1	2	5	0	0	0	0	0	0	0	0	1	2	0	0	0	0
101	12	E	42	207	12	61	5	18	0	0	0	0	3	9	1	7	1	2	0	0	0	0	0	0	0	0	0	0	0	0	7	43
102	12	C	75	227	24	43	12	24	2	3	0	0	3	5	3	6	4	10	0	0	3	3	0	0	1	1	5	7	0	0	3	8
102	12	E	54	317	17	89	7	16	0	0	0	0	4	12	1	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	10	73
103	12	C	18	23	4	5	3	4	0	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
103	12	E	50	258	14	81	7	27	0	0	0	0	6	18	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	54
104	12	C	36	87	8	11	4	5	0	0	0	0	2	2	0	0	2	3	0	0	0	0	1	1	1	1	0	0	0	0	2	4
104	12	E	51	214	10	60	5	14	0	0	0	0	2	8	1	3	2	3	0	0	0	0	0	0	1	1	0	0	0	0	4	45
105	12	C	31	89	2	3	1	2	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
105	12	E	71	399	20	126	8	37	0	0	0	0	5	22	3	15	0	0	0	0	0	0	0	0	1	2	0	0	0	0	11	87
106	12	C	74	222	22	42	8	22	0	0	0	0	6	17	1	4	1	1	0	0	5	10	1	2	3	3	2	2	0	0	3	3
106	12	E	63	274	17	64	8	26	0	0	0	0	7	16	1	10	0	0	0	0	1	1	0	0	0	0	0	0	0	0	8	37
107	12	C	58	153	15	19	4	7	0	0	0	0	4	7	0	0	0	0	0	0	1	1	1	2	4	4	4	4	0	0	1	1
107	12	E	59	322	13	80	5	23	0	0	0	0	4	16	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	57
108	12	C	59	225	22	43	10	25	0	0	0	0	4	8	2	7	3	8	1	2	4	8	1	1	4	5	0	0	0	0	3	4
108	12	E	43	202	12	58	4	12	0	0	0	0	3	10	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	46
109	12	C	48	129	18	39	7	21	0	0	0	0	3	16	1	2	1	1	2	2	5	9	1	1	2	2	1	1	0	0	2	5
109	12	E	56	307	16	107	4	34	0	0	0	0	2	22	1	11	1	1	0	0	1	1	0	0	0	0	0	0	0	0	11	72
11	12	C	48	133	14	33	6	16	0	0	0	0	5	14	1	2	0	0	0	0	3	5	1	4	1	2	1	1	0	0	2	5
11	12	E	104	567	25	136	10	47	0	0	0	0	7	25	3	22	0	0	0	0	3	5	1	1	1	1	1	1	0	0	9	81
110	12	C	36	83	7	10	3	6	0	0	0	0	3	6	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	3	3
110	12	E	66	320	17	119	8	40	0	0	0	0	4	22	4	18	0	0	0	0	0	0	0	0	1	1	0	0	0	0	8	78
111	12	C	34	152	8	29	7	28	0	0	0	0	3	19	0	0	1	1	3	8	1	1	0	0	0	0	0	0	0	0	0	0
111	12	E	44	183	14	48	7	10	0	0	0	0	4	6	1	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	7	38
112	12	C	66	143	15	27	9	18	0	0	0	0	5	11	2	3	1	3	1	1	2	4	0	0	1	2	1	1	0	0	2	2
112	12	E	71	331	21	89	9	27	0	0	0	0	5	17	2	8	1	1	1	1	1	1	0	0	1	1	0	0	0	0	10	60
