PATTERN	SPATIAL	CATEGORY	66-24-C	66-24-P	66-48-C	66-48-P	67-24-C	67-24-P	67-48-C	67-48-P	68-24-C	68-24-P	68-48-C	68-48-P	76-48-C	76-48-P	82-24-C	82-24-P	82-48-C	82-48-P
a little	1	continuous amount	0	2	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	2
a lot	1	continuous amount	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	2	1	1
above	1	location and directions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
across	1	location and directions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
against	1	location and directions	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ahead	1	location and directions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
all	1	continuous amount	0	1	0	7	0	3	1	1	0	3	0	4	0	7	4	2	1	3
alligator	0	animal name	0	0	7	5	0	0	2	5	0	0	0	0	0	0	0	0	0	0
along	1	location and directions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
am i	0	question	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
among	1	location and directions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
anemone	0	animal name	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
angle	1	spatial features and properties	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
animal	0	animal name	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ant	0	animal name	0	0	7	5	0	0	0	1	0	0	0	0	2	3	0	0	1	7
apart	1	location and directions	0	0	0	0	0	4	0	2	0	1	0	1	1	0	0	0	0	1
arc	1	spatial features and properties	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
are these	0	question	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
area	1	spatial dimension	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arm	0	body part	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
around	1	location and directions	0	0	0	0	0	0	1	0	0	2	0	1	0	1	0	1	0	2
aside	1	location and directions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
attach	1	location and directions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
away	1	location and directions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
axis	1	spatial features and properties	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
back	1	location and directions	0	0	0	0	1	0	0	1	0	2	0	2	0	0	0	0	0	1
barn	0	nature	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
barnacle	0	nature	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beak	0	body part	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2
behind	1	location and directions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
below	1	location and directions	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
beneath	1	location and directions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bent	1	spatial features and properties	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
berry	0	nature	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beside	1	location and directions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
between	1	location and directions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beyond	1	location and directions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
big	1	spatial dimension	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2
bird	0	animal name	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	6
bit	1	continuous amount	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2
black	0	color	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
blue	0	color	0	0	0	0	1	0	2	4	0	0	0	0	1	0	1	5	0	2
body	0	body part	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	6	0	1
border	1	spatial features and properties	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bottom	1	location and directions	0	0	0	0	0	1	0	2	0	2	0	0	0	0	0	5	0	11
branch	0	nature	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bright	0	adjective	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
brown	0	color	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
bubbles	0	nature	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bump	1	spatial features and properties	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
butterfly	0	color	0	0	2	3	0	0	0	6	0	0	0	0	1	4	0	0	0	6
by	1	location and directions	0	0	0	1	1	0	0	1	0	1	0	0	0	1	1	1	0	1
can	0	question	0	1	3	5	1	5	4	11	0	7	1	2	7	8	3	16	2	11
capacity	1	spatial dimension	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cat	0	animal name	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
center	1	location and directions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cheetah	0	animal name	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
chick	0	animal name	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chicken	0	animal name	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
circle	1	shapes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
close	1	location and directions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
color	0	color	0	1	0	0	0	1	0	1	0	0	0	2	0	3	0	1	0	2
column	1	location and directions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cone	1	shapes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
connect	1	location and directions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
corn	0	nature	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
corner	1	spatial features and properties	0	1	0	6	0	1	1	4	0	2	0	0	0	0	0	13	1	6
could	0	question	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	5
cow	0	animal name	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
crab	0	animal name	6	9	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0
cube	1	shapes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
curve	1	spatial features and properties	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cylinder	1	shapes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dark	0	adjective	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
deep	1	spatial dimension	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
depth	1	spatial dimension	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
diagonal	1	location and directions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
diamond	1	shapes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
did	0	question	0	0	1	1	1	0	0	4	0	12	0	15	2	1	0	2	0	3
direction	1	location and directions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dirt	0	nature	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
distance	1	location and directions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
do	0	question	6	8	5	6	1	3	3	24	0	16	0	4	7	9	5	26	1	19
does	0	question	0	0	0	2	1	0	1	7	0	10	0	5	0	12	0	2	1	7
dots	0	body part	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
down	1	location and directions	0	0	0	1	0	0	0	4	0	2	0	1	0	0	0	2	1	5
duck	0	animal name	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ear	0	body part	0	0	1	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0
east	1	location and directions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
edge	1	spatial features and properties	0	0	0	0	0	0	1	15	0	0	0	0	0	0	0	11	0	8
ellipse	1	shapes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
empty	1	spatial dimension	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
enormous	1	spatial dimension	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
enough	1	continuous amount	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eye	0	body part	0	0	1	3	0	1	0	7	0	0	0	0	0	0	0	4	0	8
face	0	body part	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	5
face	0	body part	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	5
far	1	location and directions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fat	1	spatial dimension	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fin	0	body part	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fish	0	animal name	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
flat	1	spatial features and properties	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	13	0	31
flip	1	orientation and transformation	0	0	0	0	1	0	0	0	0	0	0	7	0	0	0	0	0	0
floor	0	nature	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
flower	0	nature	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	3
foot	0	body part	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0
forward	1	location and directions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fraction	1	continuous amount	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fragment	1	continuous amount	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
frog	0	animal name	0	0	2	3	0	0	1	8	0	0	0	0	0	0	0	0	0	0
front	1	location and directions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
full	1	spatial dimension	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
further	1	location and directions	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
gigantic	1	spatial dimension	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
globe	1	shapes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
grass	0	nature	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gray	0	color	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
green	0	color	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	1	0	0
ground	0	nature	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hair	0	body part	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
