_ID	KIND	SPEAKER	WORD_TYP	WORD_TOK	PATT_TYP	PATT_TOK	SPA_TYP	SPA_TOK	SD_TYP	SD_TOK	SHA_TYP	SHA_TOK	LD_TYP	LD_TOK	CA_TYP	CA_TOK	SF_TYP	SF_TOK	OT_TYP	OT_TOK	ANI_TYP	ANI_TOK	NAT_TYP	NAT_TOK	BP_TYP	BP_TOK	COL_TYP	COL_TOK	ADJ_TYP	ADJ_TOK	Q_TYP	Q_TOK
66	24	C	104	314	26	72	10	27	1	1	0	0	5	12	2	11	2	3	0	0	6	18	0	0	0	0	2	2	0	0	8	25
66	24	P	129	491	40	100	17	36	1	1	0	0	6	16	6	13	4	6	0	0	7	17	0	0	2	3	4	6	0	0	10	38
66	48	C	111	463	30	89	6	17	0	0	0	0	3	4	3	13	0	0	0	0	7	32	1	1	5	6	1	2	0	0	10	31
66	48	P	139	644	44	136	15	49	0	0	0	0	9	23	3	17	3	9	0	0	8	23	2	2	5	7	1	3	0	0	13	52
67	24	C	76	151	20	26	9	14	0	0	0	0	6	8	2	5	0	0	1	1	1	1	0	0	1	1	1	1	0	0	8	9
67	24	P	122	348	31	66	13	34	0	0	0	0	7	18	4	14	1	1	1	1	4	7	2	2	5	5	2	2	0	0	5	16
67	48	C	129	409	26	45	11	18	0	0	0	0	5	6	3	8	2	2	1	2	2	3	0	0	1	1	2	3	0	0	10	20
67	48	P	214	1487	70	327	28	134	1	2	0	0	14	48	6	57	6	23	1	4	8	24	5	10	10	25	7	22	0	0	12	112
68	24	C	12	19	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
68	24	P	160	1168	38	203	21	94	0	0	0	0	15	56	3	30	2	4	1	4	0	0	0	0	2	4	3	8	0	0	12	97
68	48	C	51	85	5	8	2	5	0	0	0	0	1	1	1	4	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	2
68	48	P	177	970	35	151	18	78	0	0	0	0	11	35	4	30	1	4	2	9	1	1	0	0	2	11	1	2	0	0	13	59
76	48	C	83	269	16	40	4	6	0	0	0	0	2	3	2	3	0	0	0	0	1	2	1	1	1	1	2	2	0	0	7	28
76	48	P	142	644	29	120	15	63	0	0	0	0	9	35	4	23	1	1	1	4	1	3	1	2	1	2	3	8	0	0	8	42
82	24	C	84	206	18	35	6	11	0	0	0	0	5	7	1	4	0	0	0	0	2	7	1	1	1	1	2	2	0	0	6	13
82	24	P	217	1157	65	281	31	145	2	2	0	0	14	68	7	28	7	43	1	4	7	22	2	2	5	14	7	15	1	3	12	80
82	48	C	78	152	20	31	8	15	1	1	0	0	3	5	3	8	1	1	0	0	3	3	0	0	1	1	0	0	0	0	8	12
82	48	P	226	1718	70	418	32	238	2	3	0	0	16	112	8	65	5	50	1	8	6	22	4	8	8	29	7	18	1	1	12	102
