_ID	KIND	SPEAKER	MATCH	SPATIAL	CATEGORY	COUNT
1	24	C	animal	0	animal name	1
1	24	C	body	0	body part	2
1	24	C	can	0	question	4
1	24	C	could	0	question	2
1	24	C	crab	0	animal name	6
1	24	C	do	0	question	4
1	24	C	does	0	question	1
1	24	C	down	1	location and directions	1
1	24	C	face	0	body part	1
1	24	C	fish	0	animal name	2
1	24	C	gray	0	color	1
1	24	C	how	0	question	1
1	24	C	in	1	location and directions	2
1	24	C	jellyfish	0	animal name	6
1	24	C	ocean	0	nature	2
1	24	C	octopus	0	animal name	3
1	24	C	orange	0	color	2
1	24	C	piece	1	continuous amount	2
1	24	C	purple	0	color	1
1	24	C	red	0	color	1
1	24	C	right	1	location and directions	15
1	24	C	sea	0	nature	3
1	24	C	seahorse	0	animal name	1
1	24	C	shark	0	animal name	5
1	24	C	shell	0	nature	1
1	24	C	swordfish	0	animal name	1
1	24	C	tentacle	0	body part	1
1	24	C	together	1	location and directions	2
1	24	C	turn	1	orientation and transformation	1
1	24	C	water	0	nature	1
1	24	C	what	0	question	13
1	24	C	where	0	question	3
1	24	C	with	1	location and directions	2
1	24	P	a little	1	continuous amount	2
1	24	P	all	1	continuous amount	1
1	24	P	are these	0	question	1
1	24	P	around	1	location and directions	1
1	24	P	bit	1	continuous amount	1
1	24	P	body	0	body part	2
1	24	P	can	0	question	4
1	24	P	color	0	color	1
1	24	P	corner	1	spatial features and properties	3
1	24	P	could	0	question	4
1	24	P	crab	0	animal name	7
1	24	P	did	0	question	2
1	24	P	do	0	question	23
1	24	P	does	0	question	6
1	24	P	down	1	location and directions	2
1	24	P	eye	0	body part	1
1	24	P	flip	1	orientation and transformation	2
1	24	P	gray	0	color	9
1	24	P	how	0	question	3
1	24	P	i don't know	0	question	2
1	24	P	in	1	location and directions	4
1	24	P	is that	0	question	1
1	24	P	maybe	0	question	3
1	24	P	octopus	0	animal name	2
1	24	P	orange	0	color	2
1	24	P	out	1	location and directions	1
1	24	P	over	1	location and directions	7
1	24	P	part	1	continuous amount	2
1	24	P	piece	1	continuous amount	6
1	24	P	pink	0	color	1
1	24	P	purple	0	color	4
1	24	P	right	1	location and directions	8
1	24	P	sea	0	nature	1
1	24	P	separate	1	location and directions	1
1	24	P	shark	0	animal name	1
1	24	P	side	1	spatial features and properties	3
1	24	P	snake	0	animal name	1
1	24	P	some	1	continuous amount	4
1	24	P	straight	1	spatial features and properties	1
1	24	P	tentacle	0	body part	3
1	24	P	together	1	location and directions	6
1	24	P	up	1	location and directions	7
1	24	P	water	0	nature	1
1	24	P	what	0	question	13
1	24	P	where	0	question	11
1	24	P	which	0	question	2
1	24	P	white	0	color	1
1	24	P	who	0	question	2
1	24	P	why	0	question	1
1	24	P	with	1	location and directions	1
1	24	P	yellow	0	color	1
10	24	C	all	1	continuous amount	2
10	24	C	apart	1	location and directions	1
10	24	C	blue	0	color	2
10	24	C	can	0	question	5
10	24	C	color	0	color	2
10	24	C	could	0	question	1
10	24	C	crab	0	animal name	1
10	24	C	do	0	question	7
10	24	C	does	0	question	5
10	24	C	down	1	location and directions	1
10	24	C	face	0	body part	1
10	24	C	gray	0	color	1
10	24	C	i don't know	0	question	3
10	24	C	in	1	location and directions	2
10	24	C	is this	0	question	1
10	24	C	light	0	adjective	2
10	24	C	maybe	0	question	8
10	24	C	nose	0	body part	1
10	24	C	octopus	0	animal name	1
10	24	C	piece	1	continuous amount	4
10	24	C	pink	0	color	3
10	24	C	purple	0	color	2
10	24	C	right	1	location and directions	2
10	24	C	seahorse	0	animal name	2
10	24	C	shark	0	animal name	5
10	24	C	tail	0	body part	2
10	24	C	together	1	location and directions	1
10	24	C	up	1	location and directions	2
10	24	C	what	0	question	10
10	24	C	when	0	question	2
10	24	C	where	0	question	4
10	24	C	which	0	question	2
10	24	C	will	0	question	1
10	24	P	a little	1	continuous amount	3
10	24	P	all	1	continuous amount	1
10	24	P	along	1	location and directions	3
10	24	P	around	1	location and directions	2
10	24	P	barnacle	0	nature	4
10	24	P	below	1	location and directions	1
10	24	P	between	1	location and directions	1
10	24	P	bit	1	continuous amount	2
10	24	P	blue	0	color	8
10	24	P	bottom	1	location and directions	2
10	24	P	can	0	question	3
10	24	P	close	1	location and directions	1
10	24	P	color	0	color	14
10	24	P	corner	1	spatial features and properties	14
