_ID	KIND	SPEAKER	WORD_TYP	WORD_TOK	PATT_TYP	PATT_TOK	SPA_TYP	SPA_TOK	SD_TYP	SD_TOK	SHA_TYP	SHA_TOK	LD_TYP	LD_TOK	CA_TYP	CA_TOK	SF_TYP	SF_TOK	OT_TYP	OT_TOK	ANI_TYP	ANI_TOK	NAT_TYP	NAT_TOK	BP_TYP	BP_TOK	COL_TYP	COL_TOK	ADJ_TYP	ADJ_TOK	Q_TYP	Q_TOK
1	24	C	133	504	33	94	7	25	0	0	0	0	5	22	1	2	0	0	1	1	8	25	4	7	3	4	4	5	0	0	7	28
1	24	P	183	867	51	179	20	63	0	0	0	0	10	38	6	16	3	7	1	2	4	11	2	2	3	6	7	19	0	0	15	78
10	24	C	141	467	33	89	8	15	0	0	0	0	6	9	2	6	0	0	0	0	4	9	0	0	3	4	5	10	1	2	12	49
10	24	P	248	1510	75	414	31	197	3	8	0	0	15	68	7	50	5	69	1	2	7	15	3	8	10	21	6	33	1	1	17	139
10	48	C	146	534	37	108	18	41	0	0	0	0	9	20	4	8	4	12	1	1	4	18	1	1	3	9	3	7	0	0	8	32
10	48	P	254	1390	72	382	38	185	1	1	0	0	21	75	7	29	6	76	3	4	5	26	2	3	6	29	5	12	0	0	16	127
100	24	C	90	190	21	37	9	18	4	10	0	0	2	4	2	3	1	1	0	0	3	6	2	3	1	2	0	0	0	0	6	8
100	24	P	110	286	29	49	10	16	1	3	0	0	5	7	3	5	1	1	0	0	7	9	2	2	1	1	1	1	0	0	8	20
100	48	C	107	297	24	76	10	16	1	1	0	0	5	10	2	3	2	2	0	0	6	37	2	4	2	2	1	10	0	0	3	7
100	48	P	229	1067	69	266	30	103	2	3	1	3	17	40	7	47	3	10	0	0	8	42	5	12	7	17	4	10	0	0	15	82
101	48	C	84	175	18	24	6	7	0	0	0	0	3	4	3	3	0	0	0	0	3	4	0	0	0	0	1	1	0	0	8	12
101	48	P	193	695	51	130	21	47	1	1	0	0	14	30	4	12	1	2	1	2	8	16	2	4	4	5	4	5	0	0	12	53
102	24	C	99	269	26	44	9	19	1	1	0	0	3	5	3	7	2	6	0	0	4	7	2	2	2	2	2	2	0	0	7	12
102	24	P	175	681	50	175	25	97	0	0	0	0	13	36	6	32	5	26	1	3	4	8	2	3	2	2	4	7	0	0	13	58
102	48	C	134	431	51	114	25	38	3	3	0	0	10	13	6	14	5	7	1	1	4	19	3	4	3	10	4	7	1	1	11	35
102	48	P	247	1531	74	427	36	204	3	8	2	2	18	96	6	63	6	32	1	3	5	34	3	7	7	20	8	25	1	6	14	131
103	24	C	54	139	9	17	3	3	0	0	0	0	2	2	1	1	0	0	0	0	3	8	0	0	1	2	0	0	0	0	2	4
103	24	P	70	191	18	28	7	11	0	0	0	0	4	8	3	3	0	0	0	0	7	11	0	0	0	0	0	0	0	0	4	6
103	48	C	97	251	25	46	14	19	3	4	0	0	6	8	3	5	1	1	1	1	3	11	0	0	2	3	1	1	0	0	5	12
103	48	P	165	691	40	127	24	68	2	3	0	0	13	31	6	29	2	4	1	1	3	3	0	0	2	10	0	0	0	0	11	46
104	24	C	77	193	16	29	5	6	0	0	0	0	5	6	0	0	0	0	0	0	1	1	1	1	3	6	2	2	0	0	4	13
104	24	P	163	459	35	98	17	47	0	0	0	0	12	19	2	17	2	10	1	1	2	2	1	1	2	5	3	7	0	0	10	36
104	48	C	91	212	21	36	12	15	3	3	0	0	6	7	1	2	1	2	1	1	0	0	0	0	1	2	2	3	0	0	6	16
104	48	P	197	1196	51	260	22	130	0	0	0	0	13	54	4	46	4	24	1	6	2	4	3	4	7	14	5	8	0	0	12	100
105	24	C	138	451	36	78	17	37	1	1	0	0	10	16	3	8	3	12	0	0	1	1	0	0	2	2	4	12	2	2	10	24
105	24	P	226	1787	43	382	24	135	2	4	0	0	14	81	4	38	2	10	2	2	0	0	0	0	1	10	3	59	0	0	15	178
105	48	C	74	145	14	27	10	19	2	2	0	0	5	7	1	1	2	9	0	0	1	3	0	0	0	0	0	0	0	0	3	5
105	48	P	137	509	31	82	19	49	2	5	0	0	11	25	3	14	3	5	0	0	0	0	1	1	1	1	1	2	0	0	9	29
106	24	C	134	398	33	81	10	23	0	0	0	0	3	7	5	11	1	2	1	3	8	25	1	2	4	7	2	7	0	0	8	17
106	24	P	217	1029	49	223	24	109	0	0	0	0	13	49	3	18	5	39	3	3	9	24	2	3	2	3	2	6	0	0	10	78
106	48	C	198	944	50	134	17	55	1	1	0	0	12	33	2	19	2	2	0	0	6	14	2	2	7	9	5	7	0	0	13	47
106	48	P	303	2071	69	376	31	163	3	6	0	0	16	92	5	29	5	32	2	4	8	27	5	9	8	14	3	11	0	0	14	152
107	24	C	103	458	26	78	7	17	0	0	0	0	3	7	4	10	0	0	0	0	4	4	1	1	2	4	4	8	0	0	8	44
107	24	P	271	1579	72	343	32	159	2	2	1	3	17	66	6	25	5	53	1	10	8	13	2	2	7	18	6	27	0	0	17	124
107	48	C	108	441	27	94	9	31	0	0	0	0	5	10	4	21	0	0	0	0	1	1	3	4	3	5	3	3	0	0	8	50
107	48	P	257	1452	66	317	37	169	1	1	1	2	21	68	8	49	5	47	1	2	3	4	2	5	5	30	5	19	0	0	14	90
108	24	C	80	178	26	44	7	10	1	1	0	0	5	8	1	1	0	0	0	0	10	16	3	4	2	2	0	0	0	0	4	12
108	24	P	165	516	50	109	21	57	2	3	0	0	11	25	4	18	3	10	1	1	9	19	2	2	8	9	2	2	0	0	8	20
108	48	C	142	485	35	73	16	29	0	0	0	0	11	20	4	8	0	0	1	1	5	15	1	1	6	10	2	4	0	0	5	14
108	48	P	319	2152	92	459	44	259	6	14	0	0	23	140	7	71	6	28	2	6	9	50	4	8	12	35	7	19	0	0	16	88
109	24	C	94	220	27	66	11	24	0	0	0	0	5	10	3	8	1	3	2	3	7	21	0	0	0	0	0	0	0	0	9	21
109	24	P	147	668	41	148	18	67	1	1	0	0	9	24	3	27	4	14	1	1	8	24	0	0	1	1	1	1	0	0	13	55
109	48	C	178	798	39	149	17	84	2	4	0	0	9	55	4	17	1	1	1	7	6	27	2	3	1	6	1	1	0	0	12	28
109	48	P	262	1783	58	297	29	133	2	4	0	0	14	69	8	43	4	13	1	4	6	25	5	9	5	15	1	4	0	0	12	111
11	24	C	93	320	19	35	6	8	0	0	1	1	5	7	0	0	0	0	0	0	3	5	1	1	2	10	2	2	0	0	5	9
11	24	P	157	724	33	119	19	54	0	0	0	0	12	36	2	6	2	3	3	9	2	2	1	2	3	3	0	0	0	0	8	58
11	48	C	182	1012	44	159	15	41	1	2	0	0	12	37	1	1	0	0	1	1	7	14	6	16	3	8	5	12	0	0	8	68
11	48	P	234	2611	55	406	26	259	2	3	1	1	15	194	4	40	2	7	2	14	5	18	4	10	6	14	3	15	0	0	11	90
110	24	C	102	263	25	57	14	39	1	1	0	0	6	18	4	15	3	5	0	0	1	1	1	1	0	0	1	1	0	0	8	15
110	24	P	96	247	20	47	12	27	0	0	0	0	5	9	4	14	3	4	0	0	0	0	0	0	0	0	2	2	0	0	6	18
110	48	C	139	517	35	93	16	28	2	3	0	0	11	20	3	5	0	0	0	0	2	3	2	7	2	2	3	19	0	0	10	34
110	48	P	171	820	48	146	25	74	2	5	1	1	14	47	6	17	2	4	0	0	3	8	1	5	2	3	3	16	0	0	14	40
111	24	C	64	128	19	32	4	6	0	0	0	0	1	1	1	2	2	3	0	0	9	19	2	2	0	0	1	1	0	0	3	4
111	24	P	85	171	32	52	17	26	3	4	0	0	7	9	4	7	3	6	0	0	5	7	0	0	3	3	1	1	0	0	6	15
111	48	C	93	184	23	33	8	12	0	0	0	0	5	8	1	2	2	2	0	0	4	5	1	1	2	2	2	4	0	0	6	9
111	48	P	122	329	36	71	15	26	0	0	0	0	9	15	2	5	4	6	0	0	4	6	1	2	3	4	2	3	0	0	11	30
112	24	C	81	214	20	37	10	18	0	0	0	0	5	5	5	13	0	0	0	0	3	8	1	2	0	0	1	1	0	0	5	8
112	24	P	136	581	34	119	18	54	0	0	0	0	9	22	4	15	4	15	1	2	2	3	0	0	0	0	5	17	1	1	8	44
112	48	C	109	478	27	47	11	19	1	4	0	0	6	9	2	4	1	1	1	1	5	12	0	0	1	2	3	3	0	0	7	11
112	48	P	242	1612	69	356	29	171	1	3	0	0	16	70	6	47	5	50	1	1	8	24	4	12	6	12	7	34	1	2	14	101
113	24	C	31	48	10	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	7	1	1	0	0	0	0	0	0	3	3
113	24	P	97	278	32	70	13	31	0	0	0	0	9	17	2	6	1	7	1	1	8	15	1	2	1	1	0	0	0	0	9	21
113	48	C	83	220	19	33	5	11	0	0	0	0	3	5	2	6	0	0	0	0	6	8	1	1	1	1	2	3	0	0	4	9
113	48	P	164	1131	48	247	19	97	0	0	0	0	11	48	4	34	2	7	2	8	6	22	1	1	5	10	5	10	0	0	12	107
114	24	C	59	134	25	32	9	10	3	3	0	0	2	3	2	2	1	1	1	1	6	11	2	2	1	1	2	2	0	0	5	6
114	24	P	153	526	53	126	21	44	1	2	0	0	11	23	7	17	2	2	0	0	7	19	3	6	8	23	3	4	0	0	11	30
114	48	C	75	238	20	32	4	5	0	0	0	0	2	3	2	2	0	0	0	0	4	9	2	2	3	4	3	3	0	0	4	9
114	48	P	210	1126	73	254	29	113	1	1	0	0	14	43	7	44	4	17	3	8	7	23	5	15	12	22	7	23	0	0	13	58
12	24	C	107	359	27	62	9	27	0	0	0	0	5	14	2	10	2	3	0	0	4	5	2	2	1	1	2	9	0	0	9	18
12	24	P	122	373	27	74	11	32	0	0	0	0	3	12	4	12	3	7	1	1	6	9	2	4	0	0	1	2	0	0	7	27
12	48	C	170	728	50	158	17	67	0	0	0	0	8	28	7	35	2	4	0	0	7	19	5	9	4	9	7	17	0	0	10	37
12	48	P	178	716	58	157	24	78	1	2	0	0	11	30	7	31	2	11	3	4	6	15	4	6	7	9	6	11	0	0	11	38
13	24	C	68	140	23	48	9	21	2	2	0	0	4	15	3	4	0	0	0	0	9	16	1	4	0	0	2	5	0	0	2	2
13	24	P	140	459	44	90	19	43	2	6	0	0	11	20	4	10	2	7	0	0	9	14	3	3	1	2	3	5	0	0	9	23
13	48	C	101	442	30	121	15	77	2	26	0	0	5	24	6	21	2	6	0	0	3	15	1	3	2	2	3	7	1	1	5	16
13	48	P	268	2209	73	536	36	271	1	4	1	1	20	107	8	87	4	70	2	2	3	21	2	4	7	19	9	77	1	3	15	141
15	24	C	63	167	12	29	6	18	0	0	0	0	4	10	1	7	1	1	0	0	1	2	0	0	0	0	2	2	0	0	3	7
15	24	P	166	1154	47	254	21	137	0	0	0	0	15	45	3	45	2	45	1	2	3	8	0	0	3	5	7	32	0	0	13	72
15	48	C	123	409	28	63	12	36	4	6	0	0	5	12	2	17	1	1	0	0	2	2	0	0	0	0	5	7	0	0	9	18
15	48	P	268	2834	71	589	35	318	4	5	1	1	17	114	7	124	5	66	1	8	4	14	5	9	4	6	9	37	0	0	14	205
16	24	C	102	283	24	80	8	11	1	1	0	0	6	8	1	2	0	0	0	0	8	56	1	4	4	4	1	1	0	0	2	4
16	24	P	173	484	55	134	23	37	2	3	0	0	13	20	5	11	3	3	0	0	9	37	2	4	7	16	2	3	0	0	12	37
16	48	C	125	346	40	75	20	39	3	5	0	0	12	27	5	7	0	0	0	0	4	9	1	1	5	8	2	4	0	0	8	14
16	48	P	277	1301	75	289	34	142	2	5	0	0	20	77	6	43	6	17	0	0	6	26	5	12	10	35	7	13	0	0	13	61
17	24	C	113	359	27	60	11	22	3	6	0	0	6	11	1	4	0	0	1	1	4	14	1	2	3	6	2	5	0	0	6	11
